class,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
class_2,0.485981471,0.350786189,0.692593637,0.84080312,1,0.999999424,2.58E-15
class_2,0.533992675,0.382639633,0.869570266,0.774866646,1,0.999998333,1
class_2,0.112115921,0.071674022,0.594855252,0.470648998,1,0.999994589,7.03E-14
class_2,0,0.00077335,0.774494155,0.497686973,1,0.999992938,1
class_2,0.638941101,0.538622591,0.737031885,0.130609095,1,0.999992899,9.95E-15
class_3,0.766436547,0.599149051,0.839581297,0.635893523,1,0.999997563,1.78E-16
class_3,0.766387654,0.599116825,0.840101024,0.637207205,1,0.999997572,0
class_3,0.766450148,0.598934322,0.840931364,0.637897636,1,0.999997579,5.33E-16
class_3,0.76334772,0.596644007,0.843618861,0.652017373,1,0.999997682,4.44E-16
class_3,0.752142411,0.663469188,0.980420246,0.538204682,1,0.999997074,1
class_3,0.752235504,0.663675212,0.980650147,0.539071189,1,0.999997081,1
class_3,0.752147418,0.663462261,0.980666985,0.539060709,1,0.99999708,1
class_3,0.615366155,0.47672421,0.88038587,0.796287632,1,0.999998756,1
class_3,0.622091869,0.482272977,0.926364282,0.791256962,1,0.999998546,1
class_3,0.595376912,0.455790295,0.844083144,0.827819152,1,0.999999096,1
class_3,0.607083144,0.465617497,0.934920834,0.825584796,2.04E-15,0.999998728,1
class_3,0.446629976,0.292872147,0.88468965,0.974666581,1,2.03E-07,1.33E-15
class_3,0.092764147,0.060670483,0.883686278,0.716685874,1,0.999996525,1
class_3,0.110568827,0.072501286,0.945283377,0.715235999,1,0.999995916,1
class_3,0.065964261,0.041908732,0.845292115,0.675924077,1,0.999996066,1
class_3,0.137305505,0.085945977,0.902851417,0.66932354,1,0.999995335,1
class_3,0.120158486,0.074209262,0.881097811,0.673132263,1,0.999995559,1
class_3,0.142109054,0.089131151,0.907094146,0.652305806,1,0.999994964,1.07E-15
class_3,0.092801197,0.054787944,0.866578738,0.643285286,1,0.999995046,1
class_3,0.132087081,0.082655103,0.880822269,0.624776884,1,0.999994539,4.53E-15
class_3,0.107967212,0.07089693,0.924021579,0.726424846,1,0.999996344,1
class_3,0.092764147,0.060670483,0.883686278,0.716685874,1,0.999996525,1
class_3,0.110568827,0.072501286,0.945283377,0.715235999,1,0.999995916,1
class_3,0.065964261,0.041908732,0.845292115,0.675924077,1,0.999996066,1
class_3,0.09730541,0.063686976,0.934338486,0.682785773,1,0.999995262,3.20E-15
class_3,0.037383451,0.020470725,0.830999814,0.501955252,1,0.999991787,3.11E-15
class_3,0.021723305,0.010080674,0.810574582,0.50205025,1,0.999991895,3.38E-15
class_3,0.044920104,0.025163337,0.837723496,0.497987642,1,0.999991677,5.95E-15
class_3,0.009963502,0,0.857711406,0.468000257,1,0.9999908,1
class_3,0.527318405,0.454237773,0.711645989,0.453638093,1,0.999996624,2.54E-14
class_3,0.489854148,0.417192038,0.575689209,0.503149559,1,0.999998181,1
class_3,0.672008382,0.559593546,0.836745215,0.599682974,1,0.999997811,1.90E-14
class_3,0.682210057,0.567045821,0.886711584,0.577631093,1,0.999997405,3.14E-14
class_3,0.654501654,0.541216893,0.780392617,0.631103688,1,0.999998331,1
class_3,0.67925596,0.558807046,0.932782598,0.585354734,1,0.999997231,2.98E-14
class_3,0.766425998,0.598964974,0.840482465,0.637502932,1,0.999997576,5.33E-16
class_3,0.75209426,0.663532479,0.980653693,0.537997263,1,0.999997073,1
class_3,0.752407958,0.663751587,0.980347823,0.539521987,1,0.999997085,1
class_3,0.459333648,0.302397599,0.917224489,0.9800046,1,7.72E-08,5.33E-16
class_3,0.383704831,0.244355951,0.811016926,0.96028196,3.38E-15,3.85E-07,1
class_3,0.09730541,0.063686976,0.934338486,0.682785773,1,0.999995262,3.20E-15
class_3,0.038245262,0.021852531,0.815578781,0.466860827,1,0.999991178,9.68E-15
class_3,0.510417316,0.441406788,0.632245957,0.480234557,1,0.999997552,1
class_4,0.631476957,0.471075069,0.957171833,0.962926257,1.33E-15,0.999999719,1
class_4,0.769725245,0.820497005,0.912710299,0.736681141,1,0.999998799,1
class_4,0.626543207,0.465697493,0.954739542,0.966396069,1.24E-15,0.999999743,8.88E-17
class_4,0.601648655,0.442937424,0.915660653,0.984352566,1,0.999999927,1
class_4,0.605182346,0.444520754,0.935036266,0.98260238,4.44E-16,0.999999874,3.55E-16
class_4,0.652920685,0.452919729,1,0.968236642,1,0.999999758,1
class_4,0.630160324,0.432552794,0.991593248,0.981884472,1,0.999999891,1
class_4,0.57211116,0.471826482,0.738271224,0.992618658,1,4.01E-08,2.66E-16
class_4,0.571129737,0.460094208,0.671495123,0.997147828,8.88E-17,0.999999984,1
class_4,0.57145938,0.471833336,0.779455572,0.991342691,1,4.99E-08,2.66E-16
class_4,0.538481805,0.427980086,0.610152935,1,0,0,1
class_4,0.566001785,0.458403022,0.759846959,0.999036587,1,0.999999999,1
class_4,0.663182097,0.517425717,0.86644287,0.936151938,1,0.999999668,1
class_4,0.643001579,0.495124589,0.833085135,0.952322747,1,0.999999834,1
class_4,0.605040684,0.455490439,0.780705898,0.974152701,1,5.05E-08,5.33E-16
class_4,0.767984346,0.814304751,0.910524753,0.721042077,9.15E-15,0.999998701,1
class_4,0.771985846,0.827575031,0.869347708,0.729040028,1.74E-14,0.999998778,1
class_4,0.716493884,0.808960721,0.663318362,0.697504145,1,0.999999087,1
class_4,0.76436315,0.86885042,0.981190886,0.753407304,1,0.999999014,1
class_4,0.178700157,0.119310417,0.872867867,0.980956409,3.55E-16,1.38E-08,1
class_4,0.161866784,0.107751518,0.841582625,0.967917934,1.15E-15,1.24E-07,1
class_4,0.180595373,0.12047202,0.901775797,0.992175348,0,0.999999976,1
class_4,0.247366755,0.162724653,0.830800195,0.955732126,1,0.999999836,1
class_4,0.228553034,0.149503349,0.791108523,0.935930045,1,0.999999852,1
class_4,0.250999498,0.165102834,0.867513714,0.972354794,1,0.999999823,1
class_4,0.235720481,0.154366529,0.899440348,0.980962119,1,0.999999781,1
class_4,0.532060032,0.396888489,0.645887586,0.983701465,1,0.999999955,1
class_4,0.543516099,0.407242114,0.675337445,0.993421066,1,0.999999957,1
class_4,0.525517454,0.390587722,0.662314137,0.985398187,1,0.999999873,8.88E-17
class_4,0.781617605,0.711830692,0.914265068,0.741235741,1,0.999998827,3.25E-14
class_4,0.761927569,0.686244509,0.844071525,0.771132808,1,0.999999199,2.36E-14
class_4,0.741557227,0.652985739,0.801452174,0.800578364,1,0.999999456,1.51E-14
class_4,0.80482821,0.757467108,0.951902759,0.711039336,1,0.99999861,3.03E-14
class_4,0.813560233,0.777229083,0.96983605,0.696122604,1,0.999998525,2.63E-14
class_4,0.7899217,0.7258863,0.931188427,0.738208167,1,0.999998749,3.11E-14
class_4,0.765947191,0.679081301,0.909513418,0.780771591,1,0.999998951,2.78E-14
class_4,0.654125447,0.45327915,0.999336875,0.967772039,1,0.999999755,2.66E-16
class_4,0.631356104,0.432405287,0.992087427,0.982552616,1,0.999999886,1.78E-16
class_4,0.67250805,0.528133983,0.889659156,0.928853397,4.44E-16,0.999999573,1
class_4,0.769725245,0.820497005,0.912710299,0.736681141,1,0.999998799,1
class_4,0.130702485,0.085703063,0.82007437,0.961142968,2.31E-15,2.77E-07,1
class_4,0.165060823,0.109681322,0.923913821,0.997788572,1,0.999999962,1
